crisis_name,country,raw_coverage,start_date,fund_required,people_affected,crisis_days,coverage_per_day,coverage_per_funding,coverage_per_people
Afghanistan,Australia,496,8/1/2021,3.04,22.9,1287,0.3853923853923854,163.1578947368421,21.65938864628821
Afghanistan,Canada,279,8/1/2021,3.04,22.9,1287,0.21678321678321677,91.77631578947368,12.183406113537119
Afghanistan,Other,543,8/1/2021,3.04,22.9,1287,0.4219114219114219,178.6184210526316,23.711790393013104
Afghanistan,United Kingdom,2570,8/1/2021,3.04,22.9,1287,1.996891996891997,845.3947368421052,112.22707423580786
Afghanistan,United States,4897,8/1/2021,3.04,22.9,1287,3.804972804972805,1610.8552631578948,213.84279475982535
Chad,Australia,16,7/1/2009,1.5,7.8,5701,0.0028065251710226277,10.666666666666666,2.0512820512820515
Chad,Canada,30,7/1/2009,1.5,7.8,5701,0.005262234695667427,20.0,3.8461538461538463
Chad,Other,30,7/1/2009,1.5,7.8,5701,0.005262234695667427,20.0,3.8461538461538463
Chad,United Kingdom,143,7/1/2009,1.5,7.8,5701,0.025083318716014734,95.33333333333333,18.333333333333332
Chad,United States,149,7/1/2009,1.5,7.8,5701,0.02613576565514822,99.33333333333333,19.102564102564102
Democratic Republic of the Congo,Australia,41,3/1/2022,3.23,21.2,1075,0.03813953488372093,12.693498452012385,1.9339622641509435
Democratic Republic of the Congo,Canada,66,3/1/2022,3.23,21.2,1075,0.061395348837209304,20.43343653250774,3.1132075471698113
Democratic Republic of the Congo,Other,219,3/1/2022,3.23,21.2,1075,0.20372093023255813,67.80185758513932,10.330188679245284
Democratic Republic of the Congo,United Kingdom,339,3/1/2022,3.23,21.2,1075,0.31534883720930235,104.95356037151703,15.99056603773585
Democratic Republic of the Congo,United States,950,3/1/2022,3.23,21.2,1075,0.8837209302325582,294.11764705882354,44.81132075471698
Ethiopia,Australia,40,11/1/2020,2.0,10.0,1560,0.02564102564102564,20.0,4.0
Ethiopia,Canada,39,11/1/2020,2.0,10.0,1560,0.025,19.5,3.9
Ethiopia,Other,328,11/1/2020,2.0,10.0,1560,0.21025641025641026,164.0,32.8
Ethiopia,United Kingdom,553,11/1/2020,2.0,10.0,1560,0.3544871794871795,276.5,55.3
Ethiopia,United States,593,11/1/2020,2.0,10.0,1560,0.3801282051282051,296.5,59.3
Gaza and the Occupied Palestinian Territories,Australia,2010,10/1/2023,4.0,3.3,496,4.05241935483871,502.5,609.0909090909091
Gaza and the Occupied Palestinian Territories,Canada,1917,10/1/2023,4.0,3.3,496,3.8649193548387095,479.25,580.909090909091
Gaza and the Occupied Palestinian Territories,Other,1668,10/1/2023,4.0,3.3,496,3.3629032258064515,417.0,505.4545454545455
