crisis_name,coverage_count,start_date,fund_required,people_affected,crisis_days
Afghanistan,8353,8/1/2021,3.04,22.9,1287
Chad,353,7/1/2009,1.5,7.8,5701
Democratic Republic of the Congo,1587,3/1/2022,3.23,21.2,1075
Ethiopia,1513,11/1/2020,2.0,10.0,1560
Gaza and the Occupied Palestinian Territories,29118,10/1/2023,4.0,3.3,496
Myanmar,1859,8/1/2017,1.1,19.9,2748
Sudan,1750,4/1/2023,10.28,30.4,679
Syria,10550,3/1/2011,8.58,16.7,5093
Ukraine,21610,2/1/2022,3.32,12.7,1103
Yemen,1975,9/1/2014,2.5,19.5,3813
